heldout_scenario,simulation_id,sample_index,input_sha256,training_scenario_count,budget,algorithm_identity,implementation_revision,status,certificate_status,iterations,full_exact_certification_calls,result_sha256,failure_type,failure_message,first_stage_sha256,policy_sha256,policy_label,training_T_COST,training_worst_scenario,training_worst_loss,first_stage_cost,Q_Water,F_Water,R_Water,Q_Vaccine,F_Vaccine,R_Vaccine,Q_Crackers,F_Crackers,R_Crackers,row_sha256,full24_source_first_stage_sha256,full24_policy_sha256
h05,LA-0914,914,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,3,2,44897e8eb7d89c0a61a252f6f141a652cbfd17d75c438815a9d4fa515cfdfca9,,,90beb37af9b8278a7e007a824fac02514c27d6009f9f93f0314cb37fcfbbd603,4f45ab2d6bcbc82510c8117a97761976b2beefaf203a868fe2b17a9fcd4df6f4,P4,1212254701.0327225,h09,1205370714.8156204,6883986.217102075,0.0,20834416.584864948,R0,0.0,0.0,NONE,0.0,197240916.1613329,R0,dabde22a7e6be41e037ce971c96abf99c04b1cc8bc92de597245d6e5b0e34b94,5781a113e0147f440d32596ad5362f958cee8a07f32c8cd8365aced4e52793e2,fea7e2bd1f76a7b001baeac8e70c6c4513f3a4e6ebd8c2d56c44a8ced852191d
h05,LA-0802,802,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,3,2,6c6358efe270625b99844608cc8cab87093d79725dcecb1dd49d66f598c60d02,,,bcb40126c97064735e510bee518e4f7422680f4d5afb2329723ce5579b3e366c,12b662d1d9f77ad2dfebd7b1b445818e3943809f510bc981424267ea210bf6d5,P4,1228589997.4005196,h09,1223511068.8220685,5078928.578451205,0.0,12280877.45567742,R0,0.0,0.0,NONE,0.0,64808565.87198676,R0,325c80b7309ae280c811379b15070f0794de8a114f256421d88778b2c57dc636,14850fcbb4039461ac3473e5167138bad44c78f72304891cf1224949e7c0fb9b,8c68cd363295a80a6c076e957d45b83ecee681984fc17feee92fa4b88a8e79b9
h05,LA-0642,642,df36bdc338b56dbdb6049ba0f8338289089a63b99a8d10e273f60fe82107fd03,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,6,2,e0601ab194ad125ddd7abd03f497705d9bec374103dd7e0bc0f789129591eaa8,,,0799478e14703b25fc44874c425db368797b8e97e0bad31dd27950e5db9a2d00,f8865a610b658129099e27ca534731203a1d8f330a4927c5c35d907e8b661215,P1,1221165897.9019191,h09,1202027992.0464807,19137905.85543848,14229721.617536936,0.0,NONE,688215.5357769008,0.0,NONE,0.0,0.0,NONE,e1260246dfade4ef8dd039b08ace954a12185dc159db9d59f26a29aba154c024,00fad34c6985a1520333da73f27ab22a1345cd2dbac3cfe4ad0469ff5a7a2175,99cd56c56fdba833c6dd1558a25723eb71028448c6e9f459a688864e2573ae3f
h05,LA-0765,765,029044c21e5aaa3ef1fdc23ba9f93ecbcab421d4ba2aea33a2a93e86bd5dc97c,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,3,2,454ea4b4fd3d5f14692728ce11d7a2731e51507aabc0a71f4d97e77544037a7d,,,83ff7d63f0d3abbcf97b571bfb28d882d04f8e78ffe643ae9426ceeebf5b9cc8,fb1b19d496931ae233090aeb2ef8aa8716b7761b63260c8b365e36b2ca79140a,P4,1224998391.0126872,h09,1224697016.076251,301374.93643616757,0.0,0.0,NONE,0.0,0.0,NONE,0.0,248652680.22669795,R0,851ef5cb243df4b57e176c31f0fe07f6debb9134a88e0cb667205dcb47495d8f,75ea928a548f83ac5dee4837c163a541cd2cd8e00856b314283b074725a9bf0e,9846171180d7fb2337bc339cd1e3d5fe62f34a6d62ed2a15b647a194fbaabd61
h05,LA-0334,334,edaf1d3f884b2a1b1bc5dfef3d1a8ae510e3ba39112540125e89d3ae561834b0,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,3,2,076fb47c1fec3a33971628efaab09b1f52214eff3cc7763e25039f564a28c6bd,,,45a6e9c8a1ca0fe2470aa4cd6087928f87b515b902316e22152fda2de91e7d2c,8942ded1e57df0efe4004f053d40c63726af2c7d57169510e903b9780def83bf,P4,1224359243.616294,h09,1223878241.703765,481001.9125290711,0.0,406888.4396914717,R0,0.0,1139586.1257755752,R0,0.0,0.0,NONE,755f92d849fb6ed57d772eddd4e116151fcc0d652b57c882ac2f4533e5b272ce,3ab8080c2cd9b2d8e60d97139b586fb8609b1bc5ea7a6c20729dcfd0f8d4519f,8f1f50a2cc179079aae8afd5fc19dbc298a30b64b36e4ec6ac1c244a28a729fe
h05,LA-0396,396,4a8ce3956cb01a1d091e6fc01863a6d00473bea19495791f759d72580abea560,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,3,2,24cbf66bf45ce185cc4096d602c3233e76b339690801f0e688912c143f685ce8,,,fc9ebaf13419b2fae3e3ac5f9f087b4d9fc147c787d763e88fe9ad4bc4eb4107,a8bea987a0da6455e57238ca017d5827a37578ff038aed196aba8a06f637da99,P4,1195686432.2114403,h09,1191051126.0533757,4635306.158064613,0.0,12283041.448163489,R0,0.0,0.0,NONE,0.0,168482864.2128283,R0,33f8b394309596ca3643147912f2a422772efd9469f3e94efbffa381b8efbcd8,6321601fb1544f6fa904d6dc8c1f4396442dac34e9260793551cab38bec52802,fdcb7e0a151b0e042ddb8b70b2148461491661ff5b5fb2ac41a279daed7535b7
h05,LA-0358,358,65f12d3443be917eb572e0eca29833f1866f1a45141d44db32bfff161cc2c593,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,3,2,a7bf2bc8ec4ded471151998b81126d60c8a2319d370f78ccdcb251f566595a84,,,d4be32cbc2719ec8da580dfa88f4af15f3f093e2bdf90d8d93c66b78437d42eb,17de16b0d6951c01a6ead0d5687d9076ca387d051ab479c45587a6f766e4ba63,P4,1168155110.8672476,h09,1165305679.9791734,2849430.888074171,0.0,0.0,NONE,0.0,0.0,NONE,0.0,868192363.9856374,R0,0b4b8eef3006eaef0b8beb0a257affae0f711b6e70712eb742592a21932f7022,fb1dc2ff59df43241a9a4691b0c60828a912025060f1637cde4dda39f5e525cd,6faca3c761acad43136dfdbadf66429a8719fbaff656ed04e4b987c3ad6c177d
h05,LA-0467,467,10bba651114fcf8a3e1f592ebce456644653baea223751f04413e110919e8399,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,3,2,c0375db35c1fc75bea2d695ee11dc834b3d27134b914a323ae27e9b798819528,,,51518b2087719716400e0aa272001ad5eb7e72960981cbf6a0228472ff57de46,ff92fa4da627cb4b37efd8f25ae322e1351aeabfb327f2ea869a33f68c40af66,P4,1229783603.3591182,h09,1216823757.4785633,12959845.880554896,0.0,23179337.24593857,R1,0.0,776008.295513691,R1,0.0,0.0,NONE,32cc617ac38b769de21a9e8d42f271f9669d6e7ef075e60f0cfa2942ecdf502f,459cdf77a9f30bf46b6834568261fc6193863ac4968604741fab07b60e882b8c,89c4834bc02a71a472899068ee9a2b672c63ad69c04a8d167bb105a28c328bba
h05,LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,3,2,664eb2ef78ef1a1e94b6a20889c54682b1d3534f1225f0c2b76b499c4428373d,,,861ed266c15a2ba8596884e36acf20a2f099a94fd170517f89f0ae318d91d322,d9c3a060025385eb351b5e9c657f43ae69ae6434a40dcdf3975a4c44b86639d2,P4,1233499223.9417398,h09,1229183651.3295689,4315572.612170886,0.0,0.0,NONE,0.0,0.0,NONE,0.0,267830195.45473477,R0,45d5c12cfe5d90aa2355455a0312a6590be024470f1547446164e090e4845f04,fbb66c657174c3eb494e70bcbf150d790ef245ef49a7f4c520736f540e2a0b67,1043c26bc69168369bc901ea703ec25f7f026952832577aa46ccfa6b5ef68654
h05,LA-0148,148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,3,2,30740a605b26bbe917dbbbc6ef602ef94d31e9b25f2113042fa58e216c6908e5,,,1677dabe5aa1897eb4e6ada17a431b589042f546ad719a134381ccc0f745a05e,1b1b3722ae4751de993aa9353f0ca3779941448b0cc858f6def33acfc275c85a,P4,1237050663.6348436,h09,1230832025.3260527,6218638.30879087,0.0,0.0,NONE,0.0,0.0,NONE,0.0,134080467.9226798,R0,11e1df331bfa126d244b7b762ce60cc3f70cda09ed5da409f383a4772b5d45f8,70144a1e05815d4dc6b051fb2e96f5a208050735c21579657d4987fc5d3bfdbc,259b6d6901da74ab80c15b5199bb5a1c25a6ab4cb43397349702a7cba5f85bd5
