simulation_id,sample_index,simulation_seed,rho_Q1,rho_Q2,rho_Q3,rho_Q4,rho_Q5,rho_F1,rho_F2,rho_F3,rho_F4,rho_F5,eta_1,eta_2,phi,psi,c_R1_ratio,c_R2_ratio,input_sha256
LA-0001,1,20260903,0.922521227429794,0.7452023812062128,0.7418704554268403,0.7219298543549457,0.7047806081548735,0.8760720882194385,0.8611413946407805,0.8026564335238286,0.8006439855649403,0.7698499621134767,0.38351093915006096,0.4951211148465382,0.002071930421536967,0.5194839916445723,0.15581621844524082,0.38551636721752913,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f
LA-0002,2,20260903,0.9341181087069085,0.8953404556082157,0.8497989175397563,0.7564349138952171,0.7270750636927024,0.7603083924372587,0.7501372180537771,0.6821940630391552,0.6123965277608744,0.5621865826622061,0.3082333336370004,0.7189467751517306,0.38832017244636113,0.6202262325217449,0.221749594383684,0.5886617297328387,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31
LA-0003,3,20260903,0.8070071265150788,0.7743118395359756,0.7653055361477155,0.7467729448876879,0.7404691169181075,0.7049939316796755,0.650793227523168,0.6359465649326758,0.42818809136278885,0.32343126087269347,0.20231421566201296,0.5631132543292243,0.33565698051100795,1.0595438692484767,0.09400434498139602,0.22539981000768083,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809
LA-0004,4,20260903,0.8221395220428599,0.741196974705498,0.7327059146026832,0.72761989667496,0.6155313669357059,0.8929695323254209,0.8071585192510689,0.6848359897984746,0.47837390074635283,0.4523760255702268,0.32867265098503873,0.5300461697194285,0.07944032169653636,1.1778053590043958,0.243997007582195,0.36643315455048153,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0
LA-0005,5,20260903,0.9693823848132163,0.8778036260238016,0.8670121839170131,0.697425014434226,0.5896427020512514,0.7086404186405618,0.6560528226474139,0.5534219471773951,0.5474990805111646,0.5323392820396154,0.14984413737456603,0.7922432540765625,0.44017313801230057,1.1428479479630251,0.0570769506862477,0.18299684330340973,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd
LA-0006,6,20260903,0.8160641414602561,0.7917365247037459,0.6565169186322943,0.5351640775642301,0.4189678247501644,0.8599189710742645,0.8513839076953441,0.7888434892440566,0.7637745037339543,0.5954776084694967,0.14659492939636729,0.8262602402911685,0.4011770765818714,0.9604058962344366,0.07340987471879275,0.18563696459542925,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250
LA-0007,7,20260903,0.9050547676637114,0.8455286986146096,0.7027936121718653,0.6971074063313801,0.6336789960387299,0.8986023763330586,0.7224664113375998,0.7183419074792169,0.6242899298066482,0.469463585287724,0.20725263438310682,0.7366776951050362,0.05552381086764615,1.3536768038735594,0.12971378592248706,0.20810758090970125,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3
LA-0008,8,20260903,0.9792444797653141,0.9013583879762508,0.6243386122593421,0.5546427952902904,0.5538362049910261,0.773236113732509,0.7348353177144263,0.6028065045312001,0.5842626135047929,0.481608396818914,0.40155053831225107,0.8760158066854603,0.25037527191324255,1.4839278185106197,0.05018832949515882,0.17601281812712813,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770
LA-0009,9,20260903,0.9438978837759708,0.9324302440318135,0.8379799389456358,0.6167196189127531,0.5860586653370186,0.9775968052987194,0.8593043561089263,0.8095269516912742,0.7441536643983373,0.7227957756690062,0.49472324930885264,0.8877259339798702,0.4846061686839823,1.2384835472657294,0.2515172011323056,0.4866416737382142,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303
LA-0010,10,20260903,0.8681563617215428,0.8354692606685634,0.8196318328311458,0.7581578131883597,0.42991755800513093,0.8666602673378188,0.852806321855718,0.82102140244804,0.7862198435485057,0.7840824693776616,0.07013862371514837,0.7051026389519095,0.2849293008488001,0.9280776180784069,0.11115475322102901,0.2201827511105156,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472
