case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,h_V_tau,a_C,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_usage,Q_Water,F_Water,R_Water,Q_active_Water,F_active_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,Q_active_Vaccine,F_active_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,Q_active_Crackers,F_active_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256
E2A_VACCINE_H1,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,b0cbc9eb598a4ddc2d1f799c4635a77fb3842157883010abf77a216815046f7f,e9923c8deda5bc80d34c2dd7d6f9010a393422b552344b0644dc26ca6f591a9c,1.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,915dfa011cb715ff6f2b9a7ad108cf0db83e6ced2b7e003c3b0cbe03efed7765,3,2,2,01453a73349debb2ecbc44933d5a4a3c71cc345f2fa04eb866ad6af73c25ee81,P4,1129507408.2703202,1129507408.2703202,0.0,98638.65331107803,0.0,98638.65331107803,h09,5,Katrina,1129408769.6170092,19039267.2021274,1110369502.4148817,1490895197.2837718,391062146.7806146,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,507971898.45541835,R0,False,True,391062146.7806146,1470937853.2193854,20c783972ae986400d364a8f22d6e9a3490e89cad4b7621fed7bcfd5869c0e06
E2A_VACCINE_H1,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,M2,A1_FINAL_NO_MEMORY_V1,oracle_failure,FAIL,oracle_failure,Full exact certification was incomplete,5b6078f4f4d94600ee3b6b29a45ec53f9aa27653ecb10567968e826cf9e7882a,1ded1b633d42f1ae88a2b71b2f881c5901e506492bdb8af975ef764e80b7fde0,1.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,ed9c07c396cca31d61a06d99ba77467ae4a73b1817a4c1b8b6f163e20af000cd,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10b3079f27efac9b2cc70f0bcd9ac29106e6210fa6cddd15ac525e40e36ee4ed
E2A_VACCINE_H1,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,a7ab40c988e1b8b8204bf012beec6f11f338134479400fe165d696ed117f80a8,317e375adf5a11bf0fe3533f3a0b6f7d7c2affc0fe9c859db6cc7aa7e4dce291,1.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,771c3281a4d0d38373ac3393a4e64f2d58a6d454b6ae79298b2ada24d2fe3147,7,2,2,4b10b970280077a4416ccdeba56f65112d4988ab459c697b3ddea5125b43d4c1,P1,1221418491.1101248,1221418491.1101248,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1202280585.2546864,0.0,1202280585.2546864,1871058889.502276,0.0,1.0,14045150.246489204,0.0,NONE,True,False,0.0,0.0,673160.5015277166,0.0,NONE,True,False,0.0,9058889.50227591,0.0,0.0,NONE,False,False,0.0,1862000000.0,5017a5d9cb7e3d332ae25818798bb53d63a299ef2f40d92de9641c6dbd6d283a
E2A_VACCINE_H1,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,47676e025588e522e5ad608dcf217dd234871038354d5fc4284b95e7f59a1947,ada55aa7028a785a0045252d4368255222b8528119142809cb96bfecda114cee,1.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,32d05b36db912cb02989794a797393af9c8bcf0fc3842dd2a2e64af7e744a872,3,2,2,06dc277e9bb311a97686d02e87f2950a1b719e0f8765c7431059ded86755821e,P4,1219546842.7838023,1219546842.7838023,0.0,2483165.939070249,0.0,2483165.939070249,h09,5,Katrina,1217063676.844732,16654739.916368231,1200408936.9283638,1792551734.0781648,89405609.98622149,1.0,0.0,22989724.0617264,R0,False,True,10399999.999999998,1.862645149230957e-09,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,174645882.0107315,R0,False,True,79005609.98622149,1782994390.0137784,f178729a8b1de8815a1afb9701f000aa03fa854ad530a26285d15b407139d29d
E2A_VACCINE_H1,LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,93072a1205256a54e89c36c32a90916c5656937e932ef337a35cfd2b5cba3ce0,0b3b06bb888b501c47d187b866593744e5e2b506461e28b0c686989eb0b18536,1.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,2e06507d70fbb3f7a41605a1d45b12ccd89dd0dcac15341ee677318968fd70c5,3,2,2,7a7fa1cad34e9cd0cb67bd5807e8e3cb4cf5b35356ddceb085139647fb1afca0,P1,1232190429.4448314,1232190429.4448314,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1213052523.589393,0.0,1213052523.589393,1871252406.6468344,0.0,1.0,17637799.914796602,0.0,NONE,True,False,0.0,0.0,517156.26512635546,0.0,NONE,True,False,0.0,9252406.646834452,0.0,0.0,NONE,False,False,0.0,1862000000.0,4b792368c5d912f2fc7d0a990c5cc71c14e01b440deac63f11dcf31d4b773152
E2A_VACCINE_H1,LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,325e4f30236c62d82a75cf360961d4765fc6400a04379ec422c83a57b178c8eb,66fac1fa9b1c2d908709d7da62a70d5011d1a3de860ce746c14097a05dba78c6,1.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,959bb59e1bad0d8d4e43e2ad883aa0814b80d51fb0f08fd201a31eb509d5b242,3,2,2,a3c69ef1facbc04e0b1ed0025a09a061cb77ab873b601f95640137d2f8da6a8f,P4,1228010902.1554124,1228010902.1554124,0.0,5188605.725132992,2400927.354830025,7589533.079963017,h09,5,Katrina,1220421369.0754495,11548372.775475461,1208872996.299974,1753655264.1987638,128302079.86562265,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,138001015.2037785,R2,False,True,128302079.86562265,1733697920.1343775,d6e0f2aa85f4ff5a49001de146849d07b62c8df87c9d22bf3a74e6efc4469cf2
E2A_VACCINE_H1,LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,e82d2af3767f3e63e5b4bc2e44421df41ecb52dfc8a58ea7d3069041bb034a7e,8d986dbb5e7852f166b07023296fe6b051397c80c4cfe6f71f52ab5d149a420f,1.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,7579702c3a3cc8e2efac141a18f47a11052a63bd505362c907c73907638903a3,3,2,2,03ad1fb131102efa852765e814f229589eaae83b765187b048a139f888bb2c5e,P4,1224101753.973965,1224101753.973965,0.0,1537727.6813731613,0.0,1537727.6813731613,h09,5,Katrina,1222564026.2925918,17600178.174065318,1204963848.1185265,1743227532.1739895,138729811.89039683,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,295507077.09389716,R0,False,True,138729811.89039683,1723270188.1096032,982ff935857b5a88118cbaba500eb9559eaf04ff085f524470087e7d4e0caf9a
E2A_VACCINE_H1,LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,61cb6d127337c18be5060b2f888c19f9b02159f4c83902f5c1f64c86e6471472,d1e8240dca3ebd47a5dac04a043251a71fee898f3c213ace377a680db1ffe87a,1.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,9221d85c31f9fd164731beaf63cbad1ab99d9fb4d93ccd9f8dffd1ef631f5378,3,2,2,b6306ecd75881ee90549870df11feb1e9728c22d6aa41e92f3d6747be4269bc7,P3a,1234630074.0770547,1234630074.0770547,12162585.145745656,1318939.1018726418,264384.5365518777,13745908.784170175,h09,5,Katrina,1220884165.2928846,5391997.071268303,1215492168.2216163,1832786559.3375883,38770784.72679814,1.0,18778115.09301475,0.0,NONE,True,False,0.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,56208374.995115735,R1,False,True,38770784.72679814,1823229215.273202,4a88921039d0107331d88cc715cd196d95daa49ebca4f196501c709c6bf66cf0
E2A_VACCINE_H1,LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,840875cc78c7bf842188423bdc920200001eadafc3ed4ad4917bba6ccfccef33,c624a018749efba578bd3b366f1a2c90f1956874c075c25c9f4d318fe98311a5,1.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,db22c838a4815da0a269e256789a67e343e866933da347ab31fcc6ad14fe06af,3,2,2,79f19531889fd274446e6e4880ccc6f25ce8d4c604785f2cf181d0efce7df4ce,P1,1232446399.3457878,1232446399.3457878,19137905.85543843,0.0,0.0,19137905.85543843,h09,5,Katrina,1213308493.4903493,0.0,1213308493.4903493,1871257005.128815,0.0,0.9999999999999974,17745663.72808323,0.0,NONE,True,False,0.0,0.0,512472.4764520596,0.0,NONE,True,False,0.0,9257005.128814839,0.0,0.0,NONE,False,False,0.0,1862000000.0,39cfafdb807d52edacd98d2d34c524ddd228f20b9c06a6016ed100a5788412be
E2A_VACCINE_H1,LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,4efd7d9c79620f3fc0c12c65783e8ad46c55aa5d80eb6d4e6598675637eccf95,2cf6ef34d145697be4961db0aba478947fe26f91acbc974bb5ea676fdea569eb,1.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,c80c5a369af324417f08029a14ffbbb138f9a5197451b662ae25531a61609ffe,3,2,2,45fc836b1f0c28578676de3804224b71fefe1e0040cc0e932ecfddfe555e2cf0,P4,1216833970.5307605,1216833970.5307605,0.0,5384998.5007976815,0.0,5384998.5007976815,h09,5,Katrina,1211448972.0299628,13752907.354640797,1197696064.675322,1880573780.3341582,1383563.7302281326,1.0,0.0,426298.26574119116,R0,False,True,334252.99689376773,10065747.003106233,0.0,1338265.7747305832,R0,False,True,1049310.7333343648,8508033.331051925,0.0,0.0,NONE,False,False,0.0,1862000000.0,2c0a2aaf4fc7b22a7afcb02f9b6cc8debeb42c64e1f539fe60fd0196bcdb61e5
